,timestamp,location,price,last4ccnum,date,loyaltynum,date_new
1,6/1/2014 7:28,Brew've Been Served,11.34,4795,6/1/2014,L8566,6/1/2014
2,6/1/2014 7:34,Hallowed Grounds,52.22,7108,6/1/2014,L6544,NA
3,6/1/2014 7:35,Brew've Been Served,8.33,6816,6/1/2014,L8148,6/1/2014
4,6/1/2014 7:36,Hallowed Grounds,16.72,9617,6/1/2014,L5553,6/1/2014
5,6/1/2014 7:37,Brew've Been Served,4.24,7384,6/1/2014,L3800,6/1/2014
6,6/1/2014 7:38,Brew've Been Served,4.17,5368,6/1/2014,L2247,6/1/2014
7,6/1/2014 7:42,Coffee Cameleon,28.73,7253,6/1/2014,L1682,NA
8,6/1/2014 7:43,Brew've Been Served,9.6,4948,6/1/2014,L9406,6/1/2014
9,6/1/2014 7:43,Brew've Been Served,16.9,9683,6/1/2014,L7291,6/1/2014
10,6/1/2014 7:47,Hallowed Grounds,16.53,8129,6/1/2014,L8328,6/1/2014
11,6/1/2014 7:48,Hallowed Grounds,10.66,3492,6/1/2014,L7814,6/1/2014
12,6/1/2014 7:49,Coffee Cameleon,8.39,5921,6/1/2014,L3295,6/1/2014
13,6/1/2014 7:52,Brew've Been Served,32.83,9405,6/1/2014,L3259,NA
14,6/1/2014 7:54,Coffee Cameleon,11.86,2142,6/1/2014,L9637,6/1/2014
15,6/1/2014 7:54,Hallowed Grounds,16.88,7889,6/1/2014,L6119,NA
16,6/1/2014 7:54,Hallowed Grounds,32.93,2681,6/1/2014,L1107,NA
17,6/1/2014 7:55,Brew've Been Served,3.67,3484,6/1/2014,L2490,6/1/2014
18,6/1/2014 7:55,Hallowed Grounds,8.05,9551,6/1/2014,L5777,6/1/2014
19,6/1/2014 7:59,Brew've Been Served,8.88,7819,6/1/2014,L5259,6/1/2014
20,6/1/2014 8:00,Brew've Been Served,4.27,5407,6/1/2014,L4034,6/1/2014
21,6/1/2014 8:00,Hallowed Grounds,9.69,6691,6/1/2014,L6267,NA
22,6/1/2014 8:01,Hallowed Grounds,10.07,1874,6/1/2014,L4424,6/1/2014
